tri;annee;perimetre_juridique;legal_perimeter;perimetre_spatial;spatial_perimeter;filiere;sector;type_d_energie;type_of_energy;capacite_maximale_de_production;unite;methode_de_consolidation;consolidation_method
1;2022;Groupe EDF;EDF group;Afrique du Sud;South Africa;Éolien;Wind;Électrique;Electric;73.143;MWe;Nette;Net
2;2022;Groupe EDF;EDF group;Allemagne;Germany;Hydraulique;Hydraulic;Électrique;Electric;75.5;MWe;Nette;Net
3;2022;Groupe EDF;EDF group;Allemagne;Germany;Éolien;Wind;Électrique;Electric;173.685383716855;MWe;Nette;Net
4;2022;Groupe EDF;EDF group;Belgique;Belgium;Nucléaire;Nuclear;Électrique;Electric;697.8708;MWe;Nette;Net
5;2022;Groupe EDF;EDF group;Belgique;Belgium;Gaz;Gas;Électrique;Electric;828.91314;MWe;Nette;Net
6;2022;Groupe EDF;EDF group;Belgique;Belgium;Hydraulique;Hydraulic;Électrique;Electric;45.851703;MWe;Nette;Net
7;2022;Groupe EDF;EDF group;Belgique;Belgium;Éolien;Wind;Électrique;Electric;452.463602;MWe;Nette;Net
8;2022;Groupe EDF;EDF group;Belgique;Belgium;Solaire;Solar;Électrique;Electric;0.2251064;MWe;Nette;Net
9;2022;Groupe EDF;EDF group;Belgique;Belgium;Fioul;Fioul;Chaleur;Heat;10.01998;MWth;Nette;Net
10;2022;Groupe EDF;EDF group;Belgique;Belgium;Gaz;Gas;Chaleur;Heat;36.71705;MWth;Nette;Net
11;2022;Groupe EDF;EDF group;Brésil;Brazil;Gaz;Gas;Électrique;Electric;826.8;MWe;Nette;Net
12;2022;Groupe EDF;EDF group;Brésil;Brazil;Hydraulique;Hydraulic;Électrique;Electric;204.96;MWe;Nette;Net
13;2022;Groupe EDF;EDF group;Brésil;Brazil;Éolien;Wind;Électrique;Electric;526.45;MWe;Nette;Net
14;2022;Groupe EDF;EDF group;Brésil;Brazil;Solaire;Solar;Électrique;Electric;199.2625;MWe;Nette;Net
15;2022;Groupe EDF;EDF group;Canada;Canada;Éolien;Wind;Électrique;Electric;653.59;MWe;Nette;Net
16;2022;Groupe EDF;EDF group;Canada;Canada;Solaire;Solar;Électrique;Electric;42.4;MWe;Nette;Net
17;2022;Groupe EDF;EDF group;République populaire de Chine;China;Nucléaire;Nuclear;Électrique;Electric;1050.0;MWe;Nette;Net
18;2022;Groupe EDF;EDF group;République populaire de Chine;China;Charbon;Coal;Électrique;Electric;1773.8;MWe;Nette;Net
19;2022;Groupe EDF;EDF group;République populaire de Chine;China;Éolien;Wind;Électrique;Electric;442.43425;MWe;Nette;Net
20;2022;Groupe EDF;EDF group;République populaire de Chine;China;Solaire;Solar;Électrique;Electric;136.4714;MWe;Nette;Net
21;2022;Groupe EDF;EDF group;République populaire de Chine;China;Biomasse;Biomass;Électrique;Electric;22.8;MWe;Nette;Net
22;2022;Groupe EDF;EDF group;Espagne;Spain;Gaz;Gas;Électrique;Electric;5.046601686;MWe;Nette;Net
23;2022;Groupe EDF;EDF group;Espagne;Spain;Solaire;Solar;Électrique;Electric;9.507783273;MWe;Nette;Net
24;2022;Groupe EDF;EDF group;Espagne;Spain;Gaz;Gas;Chaleur;Heat;122.002434822;MWth;Nette;Net
25;2022;Groupe EDF;EDF group;France (ISO 3166:FR);France (ISO 3166:FR);Nucléaire;Nuclear;Électrique;Electric;61370.0;MWe;Nette;Net
26;2022;Groupe EDF;EDF group;France (ISO 3166:FR);France (ISO 3166:FR);Charbon;Coal;Électrique;Electric;1177.6;MWe;Nette;Net
27;2022;Groupe EDF;EDF group;France (ISO 3166:FR);France (ISO 3166:FR);Fioul;Fioul;Électrique;Electric;3487.837282;MWe;Nette;Net
28;2022;Groupe EDF;EDF group;France (ISO 3166:FR);France (ISO 3166:FR);Gaz;Gas;Électrique;Electric;3516.3548264;MWe;Nette;Net
29;2022;Groupe EDF;EDF group;France (ISO 3166:FR);France (ISO 3166:FR);Hydraulique;Hydraulic;Électrique;Electric;20527.351072;MWe;Nette;Net
30;2022;Groupe EDF;EDF group;France (ISO 3166:FR);France (ISO 3166:FR);Géothermie;Geothermal;Électrique;Electric;0.8864;MWe;Nette;Net
31;2022;Groupe EDF;EDF group;France (ISO 3166:FR);France (ISO 3166:FR);Éolien;Wind;Électrique;Electric;1929.57356;MWe;Nette;Net
32;2022;Groupe EDF;EDF group;France (ISO 3166:FR);France (ISO 3166:FR);Solaire;Solar;Électrique;Electric;534.366992;MWe;Nette;Net
33;2022;Groupe EDF;EDF group;France (ISO 3166:FR);France (ISO 3166:FR);Biomasse;Biomass;Électrique;Electric;205.40004;MWe;Nette;Net
34;2022;Groupe EDF;EDF group;France (ISO 3166:FR);France (ISO 3166:FR);Énergie marine;Marine energy;Électrique;Electric;240.0;MWe;Nette;Net
35;2022;Groupe EDF;EDF group;France (ISO 3166:FR);France (ISO 3166:FR);Fioul;Fioul;Chaleur;Heat;917.4492;MWth;Nette;Net
36;2022;Groupe EDF;EDF group;France (ISO 3166:FR);France (ISO 3166:FR);Gaz;Gas;Chaleur;Heat;19952.62638691;MWth;Nette;Net
37;2022;Groupe EDF;EDF group;France (ISO 3166:FR);France (ISO 3166:FR);Autres ENR;Other Renewable Energies;Chaleur;Heat;2377.161572;MWth;Nette;Net
38;2022;Groupe EDF;EDF group;France (ISO 3166:FR);France (ISO 3166:FR);Divers;Various;Chaleur;Heat;5661.091306;MWth;Nette;Net
39;2022;Groupe EDF;EDF group;Grèce;Greece;Gaz;Gas;Électrique;Electric;406.1706;MWe;Nette;Net
40;2022;Groupe EDF;EDF group;Grèce;Greece;Éolien;Wind;Électrique;Electric;238.200702;MWe;Nette;Net
41;2022;Groupe EDF;EDF group;Grèce;Greece;Solaire;Solar;Électrique;Electric;57.0889702;MWe;Nette;Net
42;2022;Groupe EDF;EDF group;Inde;India;Éolien;Wind;Électrique;Electric;432.1;MWe;Nette;Net
43;2022;Groupe EDF;EDF group;Inde;India;Solaire;Solar;Électrique;Electric;327.675;MWe;Nette;Net
44;2022;Groupe EDF;EDF group;Israël;Israel;Solaire;Solar;Électrique;Electric;295.758535;MWe;Nette;Net
45;2022;Groupe EDF;EDF group;Italie;Italy;Gaz;Gas;Électrique;Electric;4922.56183134383;MWe;Nette;Net
46;2022;Groupe EDF;EDF group;Italie;Italy;Hydraulique;Hydraulic;Électrique;Electric;930.02442704356;MWe;Nette;Net
47;2022;Groupe EDF;EDF group;Italie;Italy;Éolien;Wind;Électrique;Electric;530.178954;MWe;Nette;Net
48;2022;Groupe EDF;EDF group;Italie;Italy;Solaire;Solar;Électrique;Electric;46.05868649832;MWe;Nette;Net
49;2022;Groupe EDF;EDF group;Italie;Italy;Biomasse;Biomass;Électrique;Electric;2.9034396;MWe;Nette;Net
50;2022;Groupe EDF;EDF group;Italie;Italy;Fioul;Fioul;Chaleur;Heat;4.8108867;MWth;Nette;Net
51;2022;Groupe EDF;EDF group;Italie;Italy;Gaz;Gas;Chaleur;Heat;2751.01588231921;MWth;Nette;Net
52;2022;Groupe EDF;EDF group;Italie;Italy;Autres ENR;Other Renewable Energies;Chaleur;Heat;27.1045998;MWth;Nette;Net
53;2022;Groupe EDF;EDF group;Italie;Italy;Divers;Various;Chaleur;Heat;48.68217;MWth;Nette;Net
54;2022;Groupe EDF;EDF group;Mexique;Mexico;Éolien;Wind;Électrique;Electric;162.0;MWe;Nette;Net
55;2022;Groupe EDF;EDF group;Mexique;Mexico;Solaire;Solar;Électrique;Electric;119.6;MWe;Nette;Net
56;2022;Groupe EDF;EDF group;Pologne;Poland;Charbon;Coal;Électrique;Electric;11.6604;MWe;Nette;Net
57;2022;Groupe EDF;EDF group;Pologne;Poland;Fioul;Fioul;Électrique;Electric;0.369778;MWe;Nette;Net
58;2022;Groupe EDF;EDF group;Pologne;Poland;Éolien;Wind;Électrique;Electric;68.0;MWe;Nette;Net
59;2022;Groupe EDF;EDF group;Pologne;Poland;Divers;Various;Électrique;Electric;18.668792;MWe;Nette;Net
60;2022;Groupe EDF;EDF group;Pologne;Poland;Charbon;Coal;Chaleur;Heat;627.193551;MWth;Nette;Net
61;2022;Groupe EDF;EDF group;Pologne;Poland;Gaz;Gas;Chaleur;Heat;114.028995;MWth;Nette;Net
62;2022;Groupe EDF;EDF group;Pologne;Poland;Divers;Various;Chaleur;Heat;69.958;MWth;Nette;Net
63;2022;Groupe EDF;EDF group;Suisse;Switzerland;Hydraulique;Hydraulic;Électrique;Electric;121.65684;MWe;Nette;Net
64;2022;Groupe EDF;EDF group;Royaume-Uni;United Kingdom;Nucléaire;Nuclear;Électrique;Electric;4706.4;MWe;Nette;Net
65;2022;Groupe EDF;EDF group;Royaume-Uni;United Kingdom;Charbon;Coal;Électrique;Electric;1015.0;MWe;Nette;Net
66;2022;Groupe EDF;EDF group;Royaume-Uni;United Kingdom;Éolien;Wind;Électrique;Electric;380.758696;MWe;Nette;Net
67;2022;Groupe EDF;EDF group;Royaume-Uni;United Kingdom;Solaire;Solar;Électrique;Electric;15.77;MWe;Nette;Net
68;2022;Groupe EDF;EDF group;États-Unis;United States of America;Éolien;Wind;Électrique;Electric;3241.2;MWe;Nette;Net
69;2022;Groupe EDF;EDF group;États-Unis;United States of America;Solaire;Solar;Électrique;Electric;1116.4595;MWe;Nette;Net
70;2022;Groupe EDF;EDF group;Viêt Nam;Vietnam;Gaz;Gas;Électrique;Electric;402.1875;MWe;Nette;Net
71;2022;Groupe EDF;EDF group;Viêt Nam;Vietnam;Solaire;Solar;Électrique;Electric;34.24784;MWe;Nette;Net
72;2022;Groupe EDF;EDF group;Pays-Bas;Netherlands;Gaz;Gas;Électrique;Electric;435.0;MWe;Nette;Net
73;2022;Groupe EDF;EDF group;Chili;Chile;Fioul;Fioul;Électrique;Electric;186.4;MWe;Nette;Net
74;2022;Groupe EDF;EDF group;Chili;Chile;Gaz;Gas;Électrique;Electric;185.05;MWe;Nette;Net
75;2022;Groupe EDF;EDF group;Chili;Chile;Éolien;Wind;Électrique;Electric;87.5;MWe;Nette;Net
76;2022;Groupe EDF;EDF group;Chili;Chile;Solaire;Solar;Électrique;Electric;130.5;MWe;Nette;Net
77;2022;Groupe EDF;EDF group;Laos;Laos;Hydraulique;Hydraulic;Électrique;Electric;432.0;MWe;Nette;Net
78;2022;Groupe EDF;EDF group;Maroc;Morocco;Éolien;Wind;Électrique;Electric;33.93;MWe;Nette;Net
79;2022;Groupe EDF;EDF group;Émirats arabes unis;United Arab Emirates;Solaire;Solar;Électrique;Electric;445.432;MWe;Nette;Net
80;2022;Groupe EDF;EDF group;Égypte;Egypt;Solaire;Solar;Électrique;Electric;80.21495;MWe;Nette;Net
81;2022;Groupe EDF;EDF group;Arabie saoudite;Saudi Arabia;Éolien;Wind;Électrique;Electric;148.512;MWe;Nette;Net
82;2021;Groupe EDF;EDF group;Afrique du Sud;South Africa;Éolien;Wind;Électrique;Electric;73.143;MWe;Nette;Net
83;2021;Groupe EDF;EDF group;Allemagne;Germany;Hydraulique;Hydraulic;Électrique;Electric;75.5;MWe;Nette;Net
84;2021;Groupe EDF;EDF group;Allemagne;Germany;Éolien;Wind;Électrique;Electric;173.335383716856;MWe;Nette;Net
85;2021;Groupe EDF;EDF group;Belgique;Belgium;Nucléaire;Nuclear;Électrique;Electric;768.21655;MWe;Nette;Net
86;2021;Groupe EDF;EDF group;Belgique;Belgium;Gaz;Gas;Électrique;Electric;828.91314;MWe;Nette;Net
87;2021;Groupe EDF;EDF group;Belgique;Belgium;Hydraulique;Hydraulic;Électrique;Electric;45.851703;MWe;Nette;Net
88;2021;Groupe EDF;EDF group;Belgique;Belgium;Éolien;Wind;Électrique;Electric;432.80797;MWe;Nette;Net
89;2021;Groupe EDF;EDF group;Belgique;Belgium;Solaire;Solar;Électrique;Electric;4.261923;MWe;Nette;Net
90;2021;Groupe EDF;EDF group;Belgique;Belgium;Fioul;Fioul;Chaleur;Heat;10.01998;MWth;Nette;Net
91;2021;Groupe EDF;EDF group;Belgique;Belgium;Gaz;Gas;Chaleur;Heat;36.71705;MWth;Nette;Net
92;2021;Groupe EDF;EDF group;Brésil;Brazil;Gaz;Gas;Électrique;Electric;936.6021;MWe;Nette;Net
93;2021;Groupe EDF;EDF group;Brésil;Brazil;Hydraulique;Hydraulic;Électrique;Electric;204.96;MWe;Nette;Net
94;2021;Groupe EDF;EDF group;Brésil;Brazil;Éolien;Wind;Électrique;Electric;479.7;MWe;Nette;Net
95;2021;Groupe EDF;EDF group;Brésil;Brazil;Solaire;Solar;Électrique;Electric;199.2625;MWe;Nette;Net
96;2021;Groupe EDF;EDF group;Canada;Canada;Éolien;Wind;Électrique;Electric;618.19;MWe;Nette;Net
97;2021;Groupe EDF;EDF group;Canada;Canada;Solaire;Solar;Électrique;Electric;42.4;MWe;Nette;Net
98;2021;Groupe EDF;EDF group;République populaire de Chine;China;Nucléaire;Nuclear;Électrique;Electric;1050.0;MWe;Nette;Net
99;2021;Groupe EDF;EDF group;République populaire de Chine;China;Charbon;Coal;Électrique;Electric;2020.76;MWe;Nette;Net
100;2021;Groupe EDF;EDF group;République populaire de Chine;China;Éolien;Wind;Électrique;Electric;442.43425;MWe;Nette;Net
101;2021;Groupe EDF;EDF group;République populaire de Chine;China;Solaire;Solar;Électrique;Electric;122.81786;MWe;Nette;Net
102;2021;Groupe EDF;EDF group;République populaire de Chine;China;Biomasse;Biomass;Électrique;Electric;22.8;MWe;Nette;Net
103;2021;Groupe EDF;EDF group;Espagne;Spain;Gaz;Gas;Électrique;Electric;5.046601686;MWe;Nette;Net
104;2021;Groupe EDF;EDF group;Espagne;Spain;Solaire;Solar;Électrique;Electric;2.419523283;MWe;Nette;Net
105;2021;Groupe EDF;EDF group;Espagne;Spain;Gaz;Gas;Chaleur;Heat;122.002434822;MWth;Nette;Net
106;2021;Groupe EDF;EDF group;France (ISO 3166:FR);France (ISO 3166:FR);Nucléaire;Nuclear;Électrique;Electric;61370.0;MWe;Nette;Net
107;2021;Groupe EDF;EDF group;France (ISO 3166:FR);France (ISO 3166:FR);Charbon;Coal;Électrique;Electric;1177.6;MWe;Nette;Net
108;2021;Groupe EDF;EDF group;France (ISO 3166:FR);France (ISO 3166:FR);Fioul;Fioul;Électrique;Electric;3482.74706;MWe;Nette;Net
109;2021;Groupe EDF;EDF group;France (ISO 3166:FR);France (ISO 3166:FR);Gaz;Gas;Électrique;Electric;3529.251084;MWe;Nette;Net
110;2021;Groupe EDF;EDF group;France (ISO 3166:FR);France (ISO 3166:FR);Hydraulique;Hydraulic;Électrique;Electric;20500.647072;MWe;Nette;Net
111;2021;Groupe EDF;EDF group;France (ISO 3166:FR);France (ISO 3166:FR);Géothermie;Geothermal;Électrique;Electric;0.8864;MWe;Nette;Net
112;2021;Groupe EDF;EDF group;France (ISO 3166:FR);France (ISO 3166:FR);Éolien;Wind;Électrique;Electric;1655.07356;MWe;Nette;Net
113;2021;Groupe EDF;EDF group;France (ISO 3166:FR);France (ISO 3166:FR);Solaire;Solar;Électrique;Electric;396.646392;MWe;Nette;Net
114;2021;Groupe EDF;EDF group;France (ISO 3166:FR);France (ISO 3166:FR);Biomasse;Biomass;Électrique;Electric;182.2309498;MWe;Nette;Net
115;2021;Groupe EDF;EDF group;France (ISO 3166:FR);France (ISO 3166:FR);Énergie marine;Marine energy;Électrique;Electric;240.0;MWe;Nette;Net
116;2021;Groupe EDF;EDF group;France (ISO 3166:FR);France (ISO 3166:FR);Fioul;Fioul;Chaleur;Heat;917.4492;MWth;Nette;Net
117;2021;Groupe EDF;EDF group;France (ISO 3166:FR);France (ISO 3166:FR);Gaz;Gas;Chaleur;Heat;20676.296774;MWth;Nette;Net
118;2021;Groupe EDF;EDF group;France (ISO 3166:FR);France (ISO 3166:FR);Autres ENR;Other Renewable Energies;Chaleur;Heat;2278.081056;MWth;Nette;Net
119;2021;Groupe EDF;EDF group;France (ISO 3166:FR);France (ISO 3166:FR);Divers;Various;Chaleur;Heat;5762.030706;MWth;Nette;Net
120;2021;Groupe EDF;EDF group;Grèce;Greece;Gaz;Gas;Électrique;Electric;393.548217;MWe;Nette;Net
121;2021;Groupe EDF;EDF group;Grèce;Greece;Éolien;Wind;Électrique;Electric;238.200702;MWe;Nette;Net
122;2021;Groupe EDF;EDF group;Grèce;Greece;Solaire;Solar;Électrique;Electric;30.0889702;MWe;Nette;Net
123;2021;Groupe EDF;EDF group;Inde;India;Éolien;Wind;Électrique;Electric;261.55;MWe;Nette;Net
124;2021;Groupe EDF;EDF group;Inde;India;Solaire;Solar;Électrique;Electric;324.675;MWe;Nette;Net
125;2021;Groupe EDF;EDF group;Israël;Israel;Solaire;Solar;Électrique;Electric;323.342727;MWe;Nette;Net
126;2021;Groupe EDF;EDF group;Italie;Italy;Gaz;Gas;Électrique;Electric;4282.74678620688;MWe;Nette;Net
127;2021;Groupe EDF;EDF group;Italie;Italy;Hydraulique;Hydraulic;Électrique;Electric;913.366943044348;MWe;Nette;Net
128;2021;Groupe EDF;EDF group;Italie;Italy;Éolien;Wind;Électrique;Electric;481.72085802;MWe;Nette;Net
129;2021;Groupe EDF;EDF group;Italie;Italy;Solaire;Solar;Électrique;Electric;46.535414227305;MWe;Nette;Net
130;2021;Groupe EDF;EDF group;Italie;Italy;Biomasse;Biomass;Électrique;Electric;2.9034396;MWe;Nette;Net
131;2021;Groupe EDF;EDF group;Italie;Italy;Divers;Various;Électrique;Electric;7.09341;MWe;Nette;Net
132;2021;Groupe EDF;EDF group;Italie;Italy;Fioul;Fioul;Chaleur;Heat;4.46982;MWth;Nette;Net
133;2021;Groupe EDF;EDF group;Italie;Italy;Gaz;Gas;Chaleur;Heat;2751.057606;MWth;Nette;Net
134;2021;Groupe EDF;EDF group;Italie;Italy;Autres ENR;Other Renewable Energies;Chaleur;Heat;29.0771508;MWth;Nette;Net
135;2021;Groupe EDF;EDF group;Italie;Italy;Divers;Various;Chaleur;Heat;48.68217;MWth;Nette;Net
136;2021;Groupe EDF;EDF group;Mexique;Mexico;Éolien;Wind;Électrique;Electric;162.0;MWe;Nette;Net
137;2021;Groupe EDF;EDF group;Mexique;Mexico;Solaire;Solar;Électrique;Electric;119.6;MWe;Nette;Net
138;2021;Groupe EDF;EDF group;Pologne;Poland;Charbon;Coal;Électrique;Electric;11.6604;MWe;Nette;Net
139;2021;Groupe EDF;EDF group;Pologne;Poland;Fioul;Fioul;Électrique;Electric;0.369778;MWe;Nette;Net
140;2021;Groupe EDF;EDF group;Pologne;Poland;Gaz;Gas;Électrique;Electric;15.870472;MWe;Nette;Net
141;2021;Groupe EDF;EDF group;Pologne;Poland;Éolien;Wind;Électrique;Electric;68.0;MWe;Nette;Net
142;2021;Groupe EDF;EDF group;Pologne;Poland;Divers;Various;Électrique;Electric;15.870472;MWe;Nette;Net
143;2021;Groupe EDF;EDF group;Pologne;Poland;Charbon;Coal;Chaleur;Heat;672.266491;MWth;Nette;Net
144;2021;Groupe EDF;EDF group;Pologne;Poland;Gaz;Gas;Chaleur;Heat;114.028995;MWth;Nette;Net
145;2021;Groupe EDF;EDF group;Pologne;Poland;Divers;Various;Chaleur;Heat;74.955;MWth;Nette;Net
146;2021;Groupe EDF;EDF group;Suisse;Switzerland;Hydraulique;Hydraulic;Électrique;Electric;121.65684;MWe;Nette;Net
147;2021;Groupe EDF;EDF group;Royaume-Uni;United Kingdom;Nucléaire;Nuclear;Électrique;Electric;6266.4;MWe;Nette;Net
148;2021;Groupe EDF;EDF group;Royaume-Uni;United Kingdom;Charbon;Coal;Électrique;Electric;1015.0;MWe;Nette;Net
149;2021;Groupe EDF;EDF group;Royaume-Uni;United Kingdom;Éolien;Wind;Électrique;Electric;366.070696;MWe;Nette;Net
150;2021;Groupe EDF;EDF group;États-Unis;United States of America;Éolien;Wind;Électrique;Electric;3294.63;MWe;Nette;Net
151;2021;Groupe EDF;EDF group;États-Unis;United States of America;Solaire;Solar;Électrique;Electric;996.6445;MWe;Nette;Net
152;2021;Groupe EDF;EDF group;Viêt Nam;Vietnam;Gaz;Gas;Électrique;Electric;402.1875;MWe;Nette;Net
153;2021;Groupe EDF;EDF group;Pays-Bas;Netherlands;Gaz;Gas;Électrique;Electric;435.0;MWe;Nette;Net
154;2021;Groupe EDF;EDF group;Chili;Chile;Fioul;Fioul;Électrique;Electric;186.4;MWe;Nette;Net
155;2021;Groupe EDF;EDF group;Chili;Chile;Gaz;Gas;Électrique;Electric;185.05;MWe;Nette;Net
156;2021;Groupe EDF;EDF group;Chili;Chile;Éolien;Wind;Électrique;Electric;87.5;MWe;Nette;Net
157;2021;Groupe EDF;EDF group;Chili;Chile;Solaire;Solar;Électrique;Electric;130.5;MWe;Nette;Net
158;2021;Groupe EDF;EDF group;Laos;Laos;Hydraulique;Hydraulic;Électrique;Electric;432.0;MWe;Nette;Net
159;2021;Groupe EDF;EDF group;Maroc;Morocco;Autres ENR;Other Renewable Energies;Chaleur;Heat;1.26321;MWth;Nette;Net
160;2021;Groupe EDF;EDF group;Émirats arabes unis;United Arab Emirates;Solaire;Solar;Électrique;Electric;170.432;MWe;Nette;Net
161;2021;Groupe EDF;EDF group;Égypte;Egypt;Solaire;Solar;Électrique;Electric;65.35131;MWe;Nette;Net
162;2021;Groupe EDF;EDF group;Arabie saoudite;Saudi Arabia;Éolien;Wind;Électrique;Electric;212.16;MWe;Nette;Net
163;2020;Groupe EDF;EDF group;Afrique du Sud;South Africa;Éolien;Wind;Électrique;Electric;55.76;MWe;Nette;Net
164;2020;Groupe EDF;EDF group;Allemagne;Germany;Hydraulique;Hydraulic;Électrique;Electric;75.5;MWe;Nette;Net
165;2020;Groupe EDF;EDF group;Allemagne;Germany;Éolien;Wind;Électrique;Electric;173.34;MWe;Nette;Net
166;2020;Groupe EDF;EDF group;Belgique;Belgium;Nucléaire;Nuclear;Électrique;Electric;768.21655;MWe;Nette;Net
167;2020;Groupe EDF;EDF group;Belgique;Belgium;Gaz;Gas;Électrique;Electric;828.91314;MWe;Nette;Net
